,player1,player2,player3,Name,Year,Pos
392,Ben Watson,,,Cleveland Browns,2011,TE
393,Phil Dawson,,,Cleveland Browns,2011,K
394,Mohamed Massaquoi,Greg Little,Josh Cribbs,Cleveland Browns,2011,WR
395,Brandon Weeden,,,Cleveland Browns,2012,QB
396,Trent Richardson,,,Cleveland Browns,2012,RB
397,Ben Watson,,,Cleveland Browns,2012,TE
398,Phil Dawson,,,Cleveland Browns,2012,K
399,Greg Little,Josh Gordon,Mohamed Massaquoi,Cleveland Browns,2012,WR
400,Jason Campbell,,,Cleveland Browns,2013,QB
401,Willis McGahee,,,Cleveland Browns,2013,RB
402,Jordan Cameron,,,Cleveland Browns,2013,TE
403,Billy Cundiff,,,Cleveland Browns,2013,K
404,Josh Gordon,Greg Little,Travis Benjamin,Cleveland Browns,2013,WR
405,Brian Hoyer,,,Cleveland Browns,2014,QB
406,Ben Tate,,,Cleveland Browns,2014,RB
407,Jordan Cameron,,,Cleveland Browns,2014,TE
408,Billy Cundiff,,,Cleveland Browns,2014,K
409,Andrew Hawkins,Miles Austin,Josh Gordon,Cleveland Browns,2014,WR
410,Josh McCown,,,Cleveland Browns,2015,QB
411,Isaiah Crowell,,,Cleveland Browns,2015,RB
412,Gary Barnidge,,,Cleveland Browns,2015,TE
413,Travis Coons,,,Cleveland Browns,2015,K
414,Travis Benjamin,Andrew Hawkins,Taylor Gabriel,Cleveland Browns,2015,WR
415,Cody Kessler,,,Cleveland Browns,2016,QB
416,Isaiah Crowell,,,Cleveland Browns,2016,RB
417,Gary Barnidge,,,Cleveland Browns,2016,TE
418,Patrick Murray,,,Cleveland Browns,2016,K
419,Terrelle Pryor,Corey Coleman,Andrew Hawkins,Cleveland Browns,2016,WR
420,DeShone Kizer,,,Cleveland Browns,2017,QB
421,Isaiah Crowell,,,Cleveland Browns,2017,RB
422,Randall Telfer,,,Cleveland Browns,2017,TE
423,Zane Gonzalez,,,Cleveland Browns,2017,K
424,Ricardo Louis,Corey Coleman,Josh Gordon,Cleveland Browns,2017,WR
425,Baker Mayfield,,,Cleveland Browns,2018,QB
426,Nick Chubb,,,Cleveland Browns,2018,RB
427,David Njoku,,,Cleveland Browns,2018,TE
428,Zane Gonzalez,,,Cleveland Browns,2018,K
429,Jarvis Landry,Antonio Callaway,Damion Ratley,Cleveland Browns,2018,WR
430,Baker Mayfield,,,Cleveland Browns,2019,QB
431,Nick Chubb,,,Cleveland Browns,2019,RB
432,Pharaoh Brown,,,Cleveland Browns,2019,TE
433,Austin Seibert,,,Cleveland Browns,2019,K
434,Jarvis Landry,Odell Beckham,Damion Ratley,Cleveland Browns,2019,WR
435,Baker Mayfield,,,Cleveland Browns,2020,QB
436,Nick Chubb,,,Cleveland Browns,2020,RB
437,Austin Hooper,,,Cleveland Browns,2020,TE
438,Cody Parkey,,,Cleveland Browns,2020,K
439,Jarvis Landry,Odell Beckham,Rashard Higgins,Cleveland Browns,2020,WR
440,Jon Kitna,,,Dallas Cowboys,2010,QB
441,Chris Gronkowski,,,Dallas Cowboys,2010,RB
442,Jason Witten,,,Dallas Cowboys,2010,TE
443,David Buehler,,,Dallas Cowboys,2010,K
444,Miles Austin,Roy Williams,Dez Bryant,Dallas Cowboys,2010,WR
445,Tony Romo,,,Dallas Cowboys,2011,QB
446,Tony Fiammetta,,,Dallas Cowboys,2011,RB
447,Jason Witten,,,Dallas Cowboys,2011,TE
448,Dan Bailey,,,Dallas Cowboys,2011,K
449,Miles Austin,Laurent Robinson,Dez Bryant,Dallas Cowboys,2011,WR
450,Tony Romo,,,Dallas Cowboys,2012,QB
451,DeMarco Murray,,,Dallas Cowboys,2012,RB
452,Jason Witten,,,Dallas Cowboys,2012,TE
453,Dan Bailey,,,Dallas Cowboys,2012,K
454,Miles Austin,Dez Bryant,Kevin Ogletree,Dallas Cowboys,2012,WR
455,Tony Romo,,,Dallas Cowboys,2013,QB
456,DeMarco Murray,,,Dallas Cowboys,2013,RB
